"","disease","state","year","weeks_reporting","count","population","imputed_cases_per_100k","cases_per_100k"
"145","Smallpox","Colorado",1942,52,21,1148802,1.82799124653335,1.82799124653335
"146","Smallpox","Colorado",1943,52,12,1163673,1.03121753276049,1.03121753276049
"147","Smallpox","Colorado",1944,51,13,1180180,1.12312545211614,1.1015268857293
"148","Smallpox","Colorado",1945,52,6,1198507,0.500622858272834,0.500622858272834
"149","Smallpox","Colorado",1946,52,13,1218852,1.06657740234253,1.06657740234253
"150","Smallpox","Colorado",1947,49,1,1241433,0.0854838311689732,0.0805520716784555
"151","Smallpox","Colorado",1948,25,17,1266487,2.79197496697558,1.3422956571998
"152","Smallpox","Colorado",1949,2,2,1294276,4.01769019899929,0.154526546115357
"153","Smallpox","Colorado",1950,2,2,1325089,3.92426470976666,0.150933258067949
"154","Smallpox","Colorado",1951,0,0,1359143,0,0
"155","Smallpox","Colorado",1952,0,0,1396249,0,0
"156","Smallpox","Colorado",1953,0,0,1436087,0,0
"157","Smallpox","Connecticut",1928,51,161,1574079,10.428756291463,10.228203285858
"158","Smallpox","Connecticut",1929,52,43,1591618,2.70165328615283,2.70165328615283
"159","Smallpox","Connecticut",1930,52,0,1606903,0,0
"160","Smallpox","Connecticut",1931,52,100,1619815,6.17354450971253,6.17354450971253
"161","Smallpox","Connecticut",1932,52,86,1630719,5.27374734702913,5.27374734702913
"162","Smallpox","Connecticut",1933,52,29,1640119,1.76816438319415,1.76816438319415
"163","Smallpox","Connecticut",1934,52,0,1648537,0,0
"164","Smallpox","Connecticut",1935,52,0,1656509,0,0
"165","Smallpox","Connecticut",1936,50,0,1664582,0,0
"166","Smallpox","Connecticut",1937,52,0,1673313,0,0
"167","Smallpox","Connecticut",1938,52,0,1683273,0,0
"168","Smallpox","Connecticut",1939,52,6,1695047,0.353972485718685,0.353972485718685
"169","Smallpox","Connecticut",1940,51,0,1709242,0,0
"170","Smallpox","Connecticut",1941,51,0,1726368,0,0
"171","Smallpox","Connecticut",1942,52,0,1746470,0,0
"172","Smallpox","Connecticut",1943,52,0,1769482,0,0
"173","Smallpox","Connecticut",1944,51,0,1795344,0,0
"174","Smallpox","Connecticut",1945,52,0,1823998,0,0
"175","Smallpox","Connecticut",1946,52,0,1855392,0,0
"176","Smallpox","Connecticut",1947,49,0,1889472,0,0
"177","Smallpox","Connecticut",1948,24,0,1926186,0,0
"178","Smallpox","Connecticut",1949,0,0,1965475,0,0
"179","Smallpox","Connecticut",1950,0,0,2007280,0,0
"180","Smallpox","Connecticut",1951,0,0,2051526,0,0
"181","Smallpox","Connecticut",1952,0,0,2098103,0,0
"182","Smallpox","Connecticut",1953,0,0,2146881,0,0
"183","Smallpox","Delaware",1928,50,2,234814,0.88580749018372,0.8517379713305
"184","Smallpox","Delaware",1929,51,2,236508,0.862218481520503,0.845637356875877
"185","Smallpox","Delaware",1930,52,0,238380,0,0
"186","Smallpox","Delaware",1931,51,0,240462,0,0
"187","Smallpox","Delaware",1932,52,0,242750,0,0
"188","Smallpox","Delaware",1933,52,0,245227,0,0
"189","Smallpox","Delaware",1934,52,0,247879,0,0
"190","Smallpox","Delaware",1935,52,1,250689,0.398900629864095,0.398900629864095
"191","Smallpox","Delaware",1936,50,0,253641,0,0
"192","Smallpox","Delaware",1937,52,0,256717,0,0
"193","Smallpox","Delaware",1938,52,0,259900,0,0
"194","Smallpox","Delaware",1939,52,0,263169,0,0
"195","Smallpox","Delaware",1940,51,0,266505,0,0
"196","Smallpox","Delaware",1941,51,0,269904,0,0
"197","Smallpox","Delaware",1942,52,0,273432,0,0
"198","Smallpox","Delaware",1943,52,0,277176,0,0
"199","Smallpox","Delaware",1944,51,0,281229,0,0
"200","Smallpox","Delaware",1945,52,0,285687,0,0
"201","Smallpox","Delaware",1946,52,0,290658,0,0
"202","Smallpox","Delaware",1947,49,0,296252,0,0
"203","Smallpox","Delaware",1948,24,0,302595,0,0
"204","Smallpox","Delaware",1949,0,0,309821,0,0
"205","Smallpox","Delaware",1950,0,0,318085,0,0
"206","Smallpox","Delaware",1951,0,0,327511,0,0
"207","Smallpox","Delaware",1952,0,0,338054,0,0
"208","Smallpox","Delaware",1953,0,0,349613,0,0
"209","Smallpox","District Of Columbia",1928,40,10,472771,2.74974564852751,2.11518896040578
"210","Smallpox","District Of Columbia",1929,52,0,478871,0,0
"211","Smallpox","District Of Columbia",1930,52,0,486869,0,0
"212","Smallpox","District Of Columbia",1931,52,0,497179,0,0
"213","Smallpox","District Of Columbia",1932,52,1,509735,0.196180368230551,0.196180368230551
"214","Smallpox","District Of Columbia",1933,52,2,524346,0.381427530676309,0.381427530676309
"215","Smallpox","District Of Columbia",1934,52,0,540809,0,0
"216","Smallpox","District Of Columbia",1935,52,0,558898,0,0
"217","Smallpox","District Of Columbia",1936,50,4,578354,0.719282653876346,0.691617936419563
"218","Smallpox","District Of Columbia",1937,52,0,598878,0,0
"219","Smallpox","District Of Columbia",1938,52,0,620120,0,0
"220","Smallpox","District Of Columbia",1939,52,0,641679,0,0
"221","Smallpox","District Of Columbia",1940,51,0,663091,0,0
"222","Smallpox","District Of Columbia",1941,51,0,683894,0,0
"223","Smallpox","District Of Columbia",1942,52,0,703811,0,0
"224","Smallpox","District Of Columbia",1943,52,0,722606,0,0
"225","Smallpox","District Of Columbia",1944,51,0,740035,0,0
"226","Smallpox","District Of Columbia",1945,52,0,755848,0,0
"227","Smallpox","District Of Columbia",1946,52,0,769797,0,0
"228","Smallpox","District Of Columbia",1947,49,0,781634,0,0
"229","Smallpox","District Of Columbia",1948,24,0,791123,0,0
"230","Smallpox","District Of Columbia",1949,0,0,798039,0,0
"231","Smallpox","District Of Columbia",1950,0,0,802178,0,0
"232","Smallpox","District Of Columbia",1951,0,0,803467,0,0
"233","Smallpox","District Of Columbia",1952,0,0,802281,0,0
"234","Smallpox","District Of Columbia",1953,0,0,799122,0,0
"235","Smallpox","Florida",1928,50,157,1358128,12.0224308754403,11.5600296879234
"236","Smallpox","Florida",1929,51,36,1414280,2.59537590526213,2.54546483016093
"237","Smallpox","Florida",1930,52,28,1468211,1.90708283754855,1.90708283754855
"238","Smallpox","Florida",1931,52,28,1518617,1.84378286296018,1.84378286296018
"239","Smallpox","Florida",1932,52,33,1565536,2.1079042577111,2.1079042577111
"240","Smallpox","Florida",1933,52,1,1609464,0.0621324863432795,0.0621324863432795
"241","Smallpox","Florida",1934,52,3,1651015,0.181706404847927,0.181706404847927
"242","Smallpox","Florida",1935,52,14,1690912,0.82795556480763,0.82795556480763
"243","Smallpox","Florida",1936,50,0,1729972,0,0
"244","Smallpox","Florida",1937,52,7,1769107,0.395679854299373,0.395679854299373
"245","Smallpox","Florida",1938,52,19,1809314,1.05012175885446,1.05012175885446
"246","Smallpox","Florida",1939,52,9,1851685,0.486043792545708,0.486043792545708
"247","Smallpox","Florida",1940,51,9,1897414,0.483630382627897,0.474329798346592
"248","Smallpox","Florida",1941,51,2,1947696,0.104698869139461,0.102685429348317
"249","Smallpox","Florida",1942,52,1,2003380,0.0499156425640667,0.0499156425640667
"250","Smallpox","Florida",1943,52,2,2065295,0.0968384661755343,0.0968384661755343
"251","Smallpox","Florida",1944,51,1,2134374,0.0477708144466366,0.0468521449380474
"252","Smallpox","Florida",1945,52,0,2211678,0,0
"253","Smallpox","Florida",1946,52,2,2298419,0.0870163360118412,0.0870163360118412
"254","Smallpox","Florida",1947,49,0,2395995,0,0
"255","Smallpox","Florida",1948,24,0,2506024,0,0
"256","Smallpox","Florida",1949,0,0,2630391,0,0
"257","Smallpox","Florida",1950,0,0,2771305,0,0
"258","Smallpox","Florida",1951,0,0,2930798,0,0
"259","Smallpox","Florida",1952,0,0,3108815,0,0
"260","Smallpox","Florida",1953,0,0,3304427,0,0
"261","Smallpox","Georgia",1928,49,15,2901933,0.54854358618682,0.516896840829888
"262","Smallpox","Georgia",1929,51,55,2903538,1.93138272592089,1.89424075042242
"263","Smallpox","Georgia",1930,52,0,2908506,0,0
"264","Smallpox","Georgia",1931,52,47,2917574,1.61092743491682,1.61092743491682
"265","Smallpox","Georgia",1932,52,15,2930546,0.511850010202877,0.511850010202877
"266","Smallpox","Georgia",1933,52,46,2947001,1.56090886972892,1.56090886972892
"267","Smallpox","Georgia",1934,52,12,2966519,0.404514516846176,0.404514516846176
"268","Smallpox","Georgia",1935,52,29,2988679,0.970328362463818,0.970328362463818
"269","Smallpox","Georgia",1936,50,16,3013053,0.552263767016378,0.531022852900364
"270","Smallpox","Georgia",1937,52,7,3039203,0.230323542060205,0.230323542060205
"271","Smallpox","Georgia",1938,52,24,3066678,0.782605803413335,0.782605803413335
"272","Smallpox","Georgia",1939,52,37,3095013,1.19547155375438,1.19547155375438
"273","Smallpox","Georgia",1940,51,16,3123723,0.522252629000589,0.512209309212116
"274","Smallpox","Georgia",1941,51,11,3152430,0.355779074381027,0.348937169104469
"275","Smallpox","Georgia",1942,52,8,3181234,0.251474742191238,0.251474742191238
"276","Smallpox","Georgia",1943,52,10,3210365,0.311491060985277,0.311491060985277
"277","Smallpox","Georgia",1944,51,13,3240060,0.409094336548839,0.401227137769054
"278","Smallpox","Georgia",1945,52,12,3270567,0.366908857088083,0.366908857088083
"279","Smallpox","Georgia",1946,52,5,3302139,0.151417005765051,0.151417005765051
"280","Smallpox","Georgia",1947,49,3,3335044,0.0954612133869225,0.0899538356915231
"281","Smallpox","Georgia",1948,24,2,3369557,0.128602464161708,0.05935498345925
"282","Smallpox","Georgia",1949,0,0,3405968,0,0
"283","Smallpox","Georgia",1950,0,0,3444578,0,0
"284","Smallpox","Georgia",1951,0,0,3485627,0,0
"285","Smallpox","Georgia",1952,0,0,3529052,0,0
"286","Smallpox","Georgia",1953,0,0,3574711,0,0
"287","Smallpox","Hawaii",1928,0,0,NA,NA,NA
"288","Smallpox","Hawaii",1929,0,0,NA,NA,NA
"289","Smallpox","Hawaii",1930,0,0,NA,NA,NA
"290","Smallpox","Hawaii",1931,0,0,NA,NA,NA
"291","Smallpox","Hawaii",1932,0,0,NA,NA,NA
"292","Smallpox","Hawaii",1933,0,0,NA,NA,NA
"293","Smallpox","Hawaii",1934,0,0,NA,NA,NA
"294","Smallpox","Hawaii",1935,0,0,NA,NA,NA
"295","Smallpox","Hawaii",1936,0,0,NA,NA,NA
"296","Smallpox","Hawaii",1937,0,0,NA,NA,NA
"297","Smallpox","Hawaii",1938,0,0,NA,NA,NA
"298","Smallpox","Hawaii",1939,0,0,NA,NA,NA
"299","Smallpox","Hawaii",1940,0,0,NA,NA,NA
"300","Smallpox","Hawaii",1941,0,0,NA,NA,NA
"301","Smallpox","Hawaii",1942,0,0,NA,NA,NA
"302","Smallpox","Hawaii",1943,0,0,NA,NA,NA
"303","Smallpox","Hawaii",1944,0,0,NA,NA,NA
"304","Smallpox","Hawaii",1945,0,0,NA,NA,NA
"305","Smallpox","Hawaii",1946,0,0,NA,NA,NA
"306","Smallpox","Hawaii",1947,0,0,NA,NA,NA
"307","Smallpox","Hawaii",1948,0,0,NA,NA,NA
"308","Smallpox","Hawaii",1949,0,0,NA,NA,NA
"309","Smallpox","Hawaii",1950,0,0,NA,NA,NA
"310","Smallpox","Hawaii",1951,0,0,NA,NA,NA
"311","Smallpox","Hawaii",1952,0,0,NA,NA,NA
"312","Smallpox","Hawaii",1953,0,0,NA,NA,NA
"313","Smallpox","Idaho",1928,50,363,439810,85.8370660057752,82.5356403901685
"314","Smallpox","Idaho",1929,52,555,441831,125.613639604283,125.613639604283
"315","Smallpox","Idaho",1930,52,203,445032,45.6146973700768,45.6146973700768
"316","Smallpox","Idaho",1931,52,80,449638,17.7920905261566,17.7920905261566
"317","Smallpox","Idaho",1932,52,85,455546,18.6589279677574,18.6589279677574
"318","Smallpox","Idaho",1933,52,196,462565,42.3724233350989,42.3724233350989
"319","Smallpox","Idaho",1934,52,103,470502,21.8915116195043,21.8915116195043
"320","Smallpox","Idaho",1935,52,12,479153,2.50441925647966,2.50441925647966
"321","Smallpox","Idaho",1936,51,98,488300,20.4631514698855,20.0696293262339
"322","Smallpox","Idaho",1937,52,353,497708,70.9251207535342,70.9251207535342
"323","Smallpox","Idaho",1938,52,561,507125,110.623613507518,110.623613507518
"324","Smallpox","Idaho",1939,52,277,516277,53.6533682499898,53.6533682499898
"325","Smallpox","Idaho",1940,51,44,524873,8.54735242583239,8.38298026379715
"326","Smallpox","Idaho",1941,51,10,532679,1.91411308337151,1.8773032163836
"327","Smallpox","Idaho",1942,52,9,539750,1.66743862899491,1.66743862899491
"328","Smallpox","Idaho",1943,52,10,546228,1.83073734777419,1.83073734777419
"329","Smallpox","Idaho",1944,51,9,552263,1.6616124180391,1.62965833307681
"330","Smallpox","Idaho",1945,52,13,558013,2.32969482789827,2.32969482789827
"331","Smallpox","Idaho",1946,52,15,563648,2.66123538094697,2.66123538094697
"332","Smallpox","Idaho",1947,49,5,569342,0.931974533580799,0.87820677202806
"333","Smallpox","Idaho",1948,26,11,575277,3.8242446682207,1.91212233411035
"334","Smallpox","Idaho",1949,2,3,581642,13.4103108097421,0.51578118499008
"335","Smallpox","Idaho",1950,0,0,588637,0,0
"336","Smallpox","Idaho",1951,1,1,596401,8.71896593064063,0.167672421743089
"337","Smallpox","Idaho",1952,1,2,604802,17.1957103316457,0.330686737147033
"338","Smallpox","Idaho",1953,0,0,613632,0,0
"339","Smallpox","Illinois",1928,51,1782,7452677,24.3797118333531,23.9108712211733
"340","Smallpox","Illinois",1929,52,4177,7549407,55.3288490076108,55.3288490076108
"341","Smallpox","Illinois",1930,52,3891,7630654,50.9916974351084,50.9916974351084
"342","Smallpox","Illinois",1931,52,1787,7694112,23.2255522144726,23.2255522144726
"343","Smallpox","Illinois",1932,52,340,7741450,4.39194207803448,4.39194207803448
"344","Smallpox","Illinois",1933,52,272,7775489,3.49817226929393,3.49817226929393
"345","Smallpox","Illinois",1934,52,107,7799181,1.37193892538204,1.37193892538204
"346","Smallpox","Illinois",1935,52,98,7815568,1.25390758547555,1.25390758547555
"347","Smallpox","Illinois",1936,50,428,7827746,5.6864389825628,5.46772979092577
"348","Smallpox","Illinois",1937,52,950,7838842,12.119136984774,12.119136984774
"349","Smallpox","Illinois",1938,52,983,7852004,12.5190970356103,12.5190970356103
"350","Smallpox","Illinois",1939,52,487,7870402,6.1877398384479,6.1877398384479
"351","Smallpox","Illinois",1940,51,234,7897241,3.02115935545234,2.96306013707825
"352","Smallpox","Illinois",1941,51,122,7935138,1.56761176507258,1.53746538497503
"353","Smallpox","Illinois",1942,52,71,7984156,0.889261181770497,0.889261181770497
"354","Smallpox","Illinois",1943,52,69,8043736,0.85781035081211,0.85781035081211
"355","Smallpox","Illinois",1944,51,22,8113342,0.276475126390822,0.271158297037152
"356","Smallpox","Illinois",1945,52,16,8192452,0.195301724074795,0.195301724074795
"357","Smallpox","Illinois",1946,52,11,8280545,0.132841497751658,0.132841497751658
"358","Smallpox","Illinois",1947,49,2,8377103,0.025336312321716,0.0238746019954631
"359","Smallpox","Illinois",1948,24,2,8481594,0.0510910252640404,0.0235804731987879
"360","Smallpox","Illinois",1949,0,0,8593475,0,0
"361","Smallpox","Illinois",1950,0,0,8712176,0,0
"362","Smallpox","Illinois",1951,0,0,8837066,0,0
"363","Smallpox","Illinois",1952,0,0,8967327,0,0
"364","Smallpox","Illinois",1953,0,0,9102054,0,0
"365","Smallpox","Indiana",1928,51,3434,3186733,109.872189898976,107.759263170149
"366","Smallpox","Indiana",1929,52,3458,3214048,107.590179113691,107.590179113691
"367","Smallpox","Indiana",1930,52,5239,3238503,161.772275647112,161.772275647112
"368","Smallpox","Indiana",1931,52,2962,3259742,90.8660869479855,90.8660869479855
"369","Smallpox","Indiana",1932,52,383,3278298,11.6828915492124,11.6828915492124
"370","Smallpox","Indiana",1933,52,88,3294954,2.67075048695672,2.67075048695672
"371","Smallpox","Indiana",1934,52,73,3310510,2.20509830811567,2.20509830811567
"372","Smallpox","Indiana",1935,52,70,3325785,2.10476624315763,2.10476624315763
"373","Smallpox","Indiana",1936,50,103,3341613,3.20563751697159,3.08234376631884
"374","Smallpox","Indiana",1937,52,662,3358847,19.7091442390797,19.7091442390797
"375","Smallpox","Indiana",1938,52,1476,3378355,43.6899023341241,43.6899023341241
"376","Smallpox","Indiana",1939,52,1500,3401030,44.1042860545188,44.1042860545188
"377","Smallpox","Indiana",1940,51,485,3427796,14.4264653999704,14.1490333730479
"378","Smallpox","Indiana",1941,51,52,3459410,1.53261995089155,1.50314649029748
"379","Smallpox","Indiana",1942,52,64,3495849,1.83074268940106,1.83074268940106
"380","Smallpox","Indiana",1943,52,138,3536893,3.90172956886171,3.90172956886171
"381","Smallpox","Indiana",1944,51,66,3582324,1.87850450286068,1.84237941626721
"382","Smallpox","Indiana",1945,52,53,3631924,1.45928163695055,1.45928163695055
"383","Smallpox","Indiana",1946,52,45,3685467,1.22101215395498,1.22101215395498
"384","Smallpox","Indiana",1947,49,18,3742722,0.510378297301443,0.480933395534053
